marias,Maria Stark,玛丽亚·斯塔克,https://www.wanweibaike.com/wiki-%E7%91%AA%E9%BA%97%E4%BA%9E%C2%B7%E5%8F%B2%E5%A1%94%E5%85%8B,https://baike.baidu.com/item/%E7%8E%9B%E4%B8%BD%E4%BA%9A%C2%B7%E6%96%AF%E5%A1%94%E5%85%8B,,,,,,,
obadiahs,Obadiah Stane,奥巴代亚·斯坦尼,0,https://baike.baidu.com/item/%E5%A5%A5%E5%B7%B4%E4%BB%A3%E4%BA%9A%C2%B7%E6%96%AF%E5%9D%A6%E5%B0%BC?fromtitle=Obadiah+Stane&fromid=22773258,,,,,,,
jarvis,Edwin Jarvis,埃德温·贾维斯,https://www.wanweibaike.com/wiki-%E8%89%BE%E5%BE%B7%E6%81%A9%C2%B7%E8%B3%88%E7%B6%AD%E6%96%AF,https://baike.baidu.com/item/%E5%9F%83%E5%BE%B7%E6%B8%A9%C2%B7%E8%B4%BE%E7%BB%B4%E6%96%AF,,,,,,,
philc,Phil Coulson,菲尔·科尔森,0,https://baike.baidu.com/item/%E8%8F%B2%E5%B0%94%C2%B7%E7%A7%91%E5%B0%94%E6%A3%AE?fromtitle=Phil+Coulson&fromid=18081526,,,,,,,
whiplash,Ivan Vanko,鞭索二代,0,https://baike.baidu.com/item/%E9%9E%AD%E7%B4%A2,,,,,,,
antonvo,Anton Vanko (Old),鞭索一代,0,https://baike.baidu.com/item/%E9%9E%AD%E7%B4%A2,,,,,,,
justinh,Justin Hammer,贾斯汀·汉默,0,https://baike.baidu.com/item/%E8%B4%BE%E6%96%AF%E6%B1%80%C2%B7%E6%B1%89%E9%BB%98,,,,,,,
aldrichk,Aldrich Killian,奥尔得雷齐·基里安,0,https://baike.baidu.com/item/%E5%A5%A5%E5%B0%94%E5%BE%97%E9%9B%B7%E9%BD%90%C2%B7%E5%9F%BA%E9%87%8C%E5%AE%89/22804992,,,,,,,
mayah,Maya Hansen,玛雅·汉森,0,https://baike.baidu.com/item/%E7%8E%9B%E9%9B%85%C2%B7%E6%B1%89%E6%A3%AE,,,,,,,
emilb,Emil Blonsky,憎恶,0,https://baike.baidu.com/item/%E6%86%8E%E6%81%B6/15413475?fr=aladdin,,,,,,,
samuels,Samuel Stern,大头目,0,https://baike.baidu.com/item/%E5%A4%A7%E5%A4%B4%E7%9B%AE/18066560?fr=aladdin,,,,,,,
loki,Loki,洛基,0,https://baike.baidu.com/item/%E6%B4%9B%E5%9F%BA%C2%B7%E5%8A%B3%E8%8F%B2%E6%A3%AE,,,,,,,
odin,Odin,奥丁,https://www.wanweibaike.com/wiki-%E5%A5%A7%E4%B8%81_(%E6%BC%AB%E5%A8%81%E6%BC%AB%E7%95%AB),https://baike.baidu.com/item/%E5%A5%A5%E4%B8%81/17923147,,,,,,,
frigga,Frigga,弗丽嘉,0,https://baike.baidu.com/item/%E5%BC%97%E4%B8%BD%E5%98%89/19304766,,,,,,,
sif,Sif,希芙,https://www.wanweibaike.com/wiki-%E5%B8%8C%E8%8A%99_(%E6%BC%AB%E5%A8%81%E6%BC%AB%E7%95%AB),https://baike.baidu.com/item/%E5%B8%8C%E8%8A%99/16510940,,,,,,,
volstagg,Volstagg,沃斯塔格,0,https://baike.baidu.com/item/%E6%B2%83%E6%96%AF%E5%A1%94%E6%A0%BC/16469039?fr=aladdin,,,,,,,
hogun,Hogun,霍根,0,https://baike.baidu.com/item/%E9%9C%8D%E6%A0%B9/16511480?fr=aladdin,,,,,,,
fandral,Fandral,范达尔,0,https://baike.baidu.com/item/%E8%8C%83%E8%BE%BE%E5%B0%94/16469196?fr=aladdin,,,,,,,
janef,Jane Foster,简·福斯特,0,https://baike.baidu.com/item/%E7%AE%80%C2%B7%E7%A6%8F%E6%96%AF%E7%89%B9,,,,,,,
darcyl,Darcy Lewis,达西·路易斯,0,https://baike.baidu.com/item/%E8%BE%BE%E8%A5%BF%C2%B7%E8%B7%AF%E6%98%93%E6%96%AF,,,,,,,
laufey,Laufey,劳菲,0,https://baike.baidu.com/item/%E5%8A%B3%E8%8F%B2/17859088?fr=aladdin,,,,,,,
