,0,1
51,阿尼姆·佐拉,https://baike.baidu.com/item/%E9%98%BF%E5%B0%BC%E5%A7%86%C2%B7%E4%BD%90%E6%8B%89?force=1
52,亚历山大·皮尔斯,https://baike.baidu.com/item/%E4%BA%9A%E5%8E%86%E5%B1%B1%E5%A4%A7%C2%B7%E7%9A%AE%E5%B0%94%E6%96%AF?force=1
53,交叉骨,https://baike.baidu.com/item/%E4%BA%A4%E5%8F%89%E9%AA%A8/15390765
54,莎朗·卡特,https://baike.baidu.com/item/%E8%8E%8E%E6%9C%97%C2%B7%E5%8D%A1%E7%89%B9?force=1
55,跳跃者巴托克,https://baike.baidu.com/item/%E8%B7%B3%E8%B7%83%E8%80%85%E5%B7%B4%E6%89%98%E5%85%8B?force=1
56,特查拉,https://baike.baidu.com/item/%E7%89%B9%E6%9F%A5%E6%8B%89?force=1
57,特查卡,https://baike.baidu.com/item/%E7%89%B9%E6%9F%A5%E5%8D%A1?force=1
58,埃弗雷特·罗斯,https://baike.baidu.com/item/%E5%9F%83%E5%BC%97%E9%9B%B7%E7%89%B9%C2%B7%E7%BD%97%E6%96%AF?force=1
59,赫尔穆特·泽莫,https://baike.baidu.com/item/%E8%B5%AB%E5%B0%94%E7%A9%86%E7%89%B9%C2%B7%E6%B3%BD%E8%8E%AB?force=1
60,灭霸,https://baike.baidu.com/item/%E7%81%AD%E9%9C%B8?force=1
61,星爵,https://baike.baidu.com/item/%E6%98%9F%E7%88%B5?force=1
62,卡魔拉,https://baike.baidu.com/item/%E5%8D%A1%E9%AD%94%E6%8B%89?force=1
63,毁灭者德拉克斯,https://baike.baidu.com/item/%E6%AF%81%E7%81%AD%E8%80%85%E5%BE%B7%E6%8B%89%E5%85%8B%E6%96%AF?force=1
64,火箭浣熊,https://baike.baidu.com/item/%E7%81%AB%E7%AE%AD%E6%B5%A3%E7%86%8A/16003826
65,格鲁特,https://baike.baidu.com/item/%E6%A0%BC%E9%B2%81%E7%89%B9/15275848
66,星云,https://baike.baidu.com/item/%E6%98%9F%E4%BA%91/18278820
67,罗南,https://baike.baidu.com/item/%E7%BD%97%E5%8D%97/17613587
68,齐塔瑞,https://baike.baidu.com/item/%E9%BD%90%E5%A1%94%E7%91%9E?force=1
69,收集者,https://baike.baidu.com/item/%E6%94%B6%E9%9B%86%E8%80%85/2277927
70,黄蜂女,https://baike.baidu.com/item/%E9%BB%84%E8%9C%82%E5%A5%B3/1747240
71,罗曼·戴,https://baike.baidu.com/item/%E7%BD%97%E6%9B%BC%C2%B7%E6%88%B4?force=1
72,伊拉尼·雷尔,https://baike.baidu.com/item/%E4%BC%8A%E6%8B%89%E5%B0%BC%C2%B7%E9%9B%B7%E5%B0%94?force=1
73,霍华德怪鸭,https://baike.baidu.com/item/%E9%9C%8D%E5%8D%8E%E5%BE%B7%E6%80%AA%E9%B8%AD?force=1
74,螳螂,https://baike.baidu.com/item/%E8%9E%B3%E8%9E%82/17631513
75,伊戈,https://baike.baidu.com/item/%E4%BC%8A%E6%88%88?force=1
76,星辰鹰,https://baike.baidu.com/item/%E6%98%9F%E8%BE%B0%E9%B9%B0?force=1
77,银影侠,https://baike.baidu.com/item/%E9%93%B6%E5%BD%B1%E4%BE%A0/5280691
78,查理-27,https://baike.baidu.com/item/%E6%9F%A5%E7%90%86-27?force=1
79,格鲁特,https://baike.baidu.com/item/%E6%A0%BC%E9%B2%81%E7%89%B9/15275848
80,蚁人,https://baike.baidu.com/item/%E8%9A%81%E4%BA%BA/1745393
81,初代蚁人,https://baike.baidu.com/item/%E5%88%9D%E4%BB%A3%E8%9A%81%E4%BA%BA?force=1
82,黄蜂侠,https://baike.baidu.com/item/%E9%BB%84%E8%9C%82%E4%BE%A0/93638
83,奇异博士,https://baike.baidu.com/item/%E5%A5%87%E5%BC%82%E5%8D%9A%E5%A3%AB/17573895
84,莫度男爵,https://baike.baidu.com/item/%E8%8E%AB%E5%BA%A6%E7%94%B7%E7%88%B5?force=1
85,古一,https://baike.baidu.com/item/%E5%8F%A4%E4%B8%80/18067179
86,卡西利亚斯,https://baike.baidu.com/item/%E5%8D%A1%E8%A5%BF%E5%88%A9%E4%BA%9A%E6%96%AF/23590080
87,克里斯汀·帕尔默,https://baike.baidu.com/item/%E5%85%8B%E9%87%8C%E6%96%AF%E6%B1%80%C2%B7%E5%B8%95%E5%B0%94%E9%BB%98?force=1
88,王,https://baike.baidu.com/item/%E7%8E%8B/22518953
89,乔纳森·斯威夫特,https://baike.baidu.com/item/%E4%B9%94%E7%BA%B3%E6%A3%AE%C2%B7%E6%96%AF%E5%A8%81%E5%A4%AB%E7%89%B9/19304844
90,多玛姆,https://baike.baidu.com/item/%E5%A4%9A%E7%8E%9B%E5%A7%86/18060706
91,彼得·帕克,https://baike.baidu.com/item/%E5%BD%BC%E5%BE%97%C2%B7%E5%B8%95%E5%85%8B?force=1
92,梅·帕克,https://baike.baidu.com/item/%E6%A2%85%C2%B7%E5%B8%95%E5%85%8B?force=1
93,内德·利兹,https://baike.baidu.com/item/%E5%86%85%E5%BE%B7%C2%B7%E5%88%A9%E5%85%B9?force=1
94,秃鹫,https://baike.baidu.com/item/%E7%A7%83%E9%B9%AB/15866509
95,闪电·汤普森,https://baike.baidu.com/item/%E9%97%AA%E7%94%B5%C2%B7%E6%B1%A4%E6%99%AE%E6%A3%AE?force=1
96,徘徊者,https://baike.baidu.com/item/%E5%BE%98%E5%BE%8A%E8%80%85/23255204
97,赫尔曼·舒尔茨,https://baike.baidu.com/item/%E8%B5%AB%E5%B0%94%E6%9B%BC%C2%B7%E8%88%92%E5%B0%94%E8%8C%A8?force=1
98,修补匠,https://baike.baidu.com/item/%E4%BF%AE%E8%A1%A5%E5%8C%A0/19304888
99,苏里,https://baike.baidu.com/item/%E8%8B%8F%E9%87%8C/20592145
100,乌木喉,https://baike.baidu.com/item/%E4%B9%8C%E6%9C%A8%E5%96%89?force=1
101,黑矮星,https://baike.baidu.com/item/%E9%BB%91%E7%9F%AE%E6%98%9F/20479968
102,贝蒂·布兰特,https://baike.baidu.com/item/%E8%B4%9D%E8%92%82%C2%B7%E5%B8%83%E5%85%B0%E7%89%B9?force=1
103,漫威之父斯坦李,https://baike.baidu.com/item/%E6%BC%AB%E5%A8%81%E4%B9%8B%E7%88%B6%E6%96%AF%E5%9D%A6%E6%9D%8E?force=1
